14:53:26 0, 0 MiB 1, 0 MiB 
14:53:36 0, 0 MiB 1, 0 MiB 
14:53:46 0, 0 MiB 1, 0 MiB 
14:53:56 0, 0 MiB 1, 0 MiB 
14:54:06 0, 0 MiB 1, 0 MiB 
14:54:17 0, 0 MiB 1, 0 MiB 
14:54:27 0, 0 MiB 1, 0 MiB 
14:54:37 0, 0 MiB 1, 0 MiB 
14:54:47 0, 0 MiB 1, 0 MiB 
14:54:57 0, 0 MiB 1, 0 MiB 
14:55:07 0, 0 MiB 1, 0 MiB 
14:55:17 0, 423 MiB 1, 0 MiB 
14:55:28 0, 423 MiB 1, 0 MiB 
14:55:38 0, 423 MiB 1, 0 MiB 
14:55:48 0, 423 MiB 1, 0 MiB 
14:55:58 0, 423 MiB 1, 0 MiB 
14:56:08 0, 423 MiB 1, 0 MiB 
14:56:18 0, 423 MiB 1, 0 MiB 
14:56:28 0, 423 MiB 1, 0 MiB 
14:56:38 0, 7697 MiB 1, 0 MiB 
14:56:49 0, 7697 MiB 1, 0 MiB 
14:56:59 0, 7871 MiB 1, 0 MiB 
14:57:09 0, 7889 MiB 1, 0 MiB 
14:57:19 0, 7931 MiB 1, 0 MiB 
14:57:29 0, 0 MiB 1, 0 MiB 
14:57:39 0, 0 MiB 1, 0 MiB 
14:57:49 0, 0 MiB 1, 0 MiB 
14:58:00 0, 0 MiB 1, 0 MiB 
14:58:10 0, 0 MiB 1, 0 MiB 
14:58:20 0, 423 MiB 1, 0 MiB 
14:58:30 0, 423 MiB 1, 0 MiB 
14:58:40 0, 423 MiB 1, 0 MiB 
14:58:50 0, 423 MiB 1, 0 MiB 
14:59:00 0, 423 MiB 1, 0 MiB 
14:59:11 0, 423 MiB 1, 0 MiB 
14:59:21 0, 423 MiB 1, 0 MiB 
14:59:31 0, 423 MiB 1, 0 MiB 
14:59:41 0, 423 MiB 1, 0 MiB 
14:59:51 0, 423 MiB 1, 0 MiB 
15:00:01 0, 423 MiB 1, 0 MiB 
15:00:11 0, 7693 MiB 1, 0 MiB 
15:00:22 0, 7697 MiB 1, 0 MiB 
15:00:32 0, 7871 MiB 1, 0 MiB 
15:00:42 0, 7871 MiB 1, 0 MiB 
15:00:52 0, 7931 MiB 1, 0 MiB 
15:01:02 0, 7931 MiB 1, 0 MiB 
15:01:12 0, 0 MiB 1, 0 MiB 
15:01:22 0, 0 MiB 1, 0 MiB 
15:01:33 0, 4 MiB 1, 0 MiB 
15:01:43 0, 435 MiB 1, 0 MiB 
15:01:53 0, 435 MiB 1, 0 MiB 
15:02:03 0, 435 MiB 1, 0 MiB 
15:02:13 0, 435 MiB 1, 0 MiB 
15:02:23 0, 435 MiB 1, 0 MiB 
15:02:33 0, 435 MiB 1, 0 MiB 
15:02:44 0, 435 MiB 1, 0 MiB 
15:02:54 0, 435 MiB 1, 0 MiB 
15:03:04 0, 435 MiB 1, 0 MiB 
15:03:14 0, 7685 MiB 1, 0 MiB 
15:03:24 0, 7709 MiB 1, 0 MiB 
15:03:34 0, 7883 MiB 1, 0 MiB 
15:03:44 0, 7915 MiB 1, 0 MiB 
15:03:54 0, 7943 MiB 1, 0 MiB 
15:04:05 0, 7943 MiB 1, 0 MiB 
15:04:15 0, 4 MiB 1, 0 MiB 
15:04:25 0, 4 MiB 1, 0 MiB 
15:04:35 0, 435 MiB 1, 0 MiB 
15:04:45 0, 435 MiB 1, 0 MiB 
15:04:55 0, 435 MiB 1, 0 MiB 
15:05:05 0, 435 MiB 1, 0 MiB 
15:05:16 0, 435 MiB 1, 0 MiB 
15:05:26 0, 435 MiB 1, 0 MiB 
15:05:36 0, 435 MiB 1, 0 MiB 
15:05:46 0, 435 MiB 1, 0 MiB 
15:05:56 0, 7709 MiB 1, 0 MiB 
15:06:06 0, 7709 MiB 1, 0 MiB 
15:06:16 0, 7883 MiB 1, 0 MiB 
15:06:27 0, 7915 MiB 1, 0 MiB 
15:06:37 0, 7943 MiB 1, 0 MiB 
15:06:47 0, 8375 MiB 1, 0 MiB 
15:06:57 0, 8375 MiB 1, 0 MiB 
15:07:07 0, 8375 MiB 1, 0 MiB 
15:07:17 0, 8375 MiB 1, 0 MiB 
15:07:27 0, 435 MiB 1, 0 MiB 
15:07:37 0, 435 MiB 1, 0 MiB 
15:07:48 0, 435 MiB 1, 0 MiB 
15:07:58 0, 435 MiB 1, 0 MiB 
15:08:08 0, 435 MiB 1, 0 MiB 
15:08:18 0, 7705 MiB 1, 0 MiB 
15:08:28 0, 7709 MiB 1, 0 MiB 
15:08:38 0, 7883 MiB 1, 0 MiB 
15:08:48 0, 7915 MiB 1, 0 MiB 
15:08:59 0, 7943 MiB 1, 0 MiB 
15:09:09 0, 7943 MiB 1, 0 MiB 
15:09:19 0, 4 MiB 1, 0 MiB 
15:09:29 0, 4 MiB 1, 0 MiB 
15:09:39 0, 435 MiB 1, 0 MiB 
15:09:49 0, 435 MiB 1, 0 MiB 
15:09:59 0, 435 MiB 1, 0 MiB 
15:10:10 0, 435 MiB 1, 0 MiB 
15:10:20 0, 435 MiB 1, 0 MiB 
15:10:30 0, 435 MiB 1, 0 MiB 
15:10:40 0, 435 MiB 1, 0 MiB 
15:10:50 0, 435 MiB 1, 0 MiB 
15:11:00 0, 7709 MiB 1, 0 MiB 
15:11:10 0, 7709 MiB 1, 0 MiB 
15:11:21 0, 7883 MiB 1, 0 MiB 
15:11:31 0, 7915 MiB 1, 0 MiB 
15:11:41 0, 7943 MiB 1, 0 MiB 
15:11:51 0, 7943 MiB 1, 0 MiB 
15:12:01 0, 0 MiB 1, 0 MiB 
15:12:11 0, 4 MiB 1, 0 MiB 
15:12:21 0, 435 MiB 1, 0 MiB 
15:12:32 0, 435 MiB 1, 0 MiB 
15:12:42 0, 435 MiB 1, 0 MiB 
15:12:52 0, 435 MiB 1, 0 MiB 
15:13:02 0, 435 MiB 1, 0 MiB 
15:13:12 0, 435 MiB 1, 0 MiB 
15:13:22 0, 435 MiB 1, 0 MiB 
15:13:32 0, 435 MiB 1, 0 MiB 
15:13:43 0, 7585 MiB 1, 0 MiB 
15:13:53 0, 7709 MiB 1, 0 MiB 
