Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,1540036,360,4277.9,4192.0,4032,4736,180.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,1185093,120,9875.8,9888.0,9632,10272,147.3,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_28
0.0,977024,120,8141.9,8128.0,7840,8800,142.2,triton_red_fused_add_native_layer_norm_9
0.0,898658,360,2496.3,2464.0,2368,2817,95.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,849377,360,2359.4,2368.0,2272,2496,39.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,847457,360,2354.0,2336.0,2272,2560,43.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,420801,120,3506.7,3488.0,3360,3808,101.6,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.0,317664,240,1323.6,1312.0,1216,1504,59.5,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,288193,120,2401.6,2399.0,2367,2623,50.2,triton_per_fused_cumsum_19
0.0,283982,120,2366.5,2368.0,2336,2528,26.0,triton_tem_fused__to_copy_bmm_15
0.0,271860,120,2265.5,2240.0,2207,2432,63.1,triton_per_fused__to_copy_cat_cumsum_13
0.0,191104,120,1592.5,1600.0,1472,1824,77.7,triton_poi_fused__to_copy_14
0.0,166528,120,1387.7,1408.0,1312,1504,58.5,triton_poi_fused_normal_0
0.0,154336,120,1286.1,1296.0,1216,1440,57.8,triton_poi_fused_lift_fresh_30
0.0,152944,120,1274.5,1248.0,1216,1344,53.5,triton_poi_fused_lift_fresh_10
0.0,150720,120,1256.0,1264.0,1184,1376,58.9,triton_poi_fused_ge_29
